"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\crm\purple-crm-react\src\config\routes\PrivateRoute.tsx", "TypeScript JSX", 10, 0, 0, 1, 5, 16
"d:\crm\purple-crm-react\src\config\routes\Route.tsx", "TypeScript JSX", 212, 0, 0, 0, 5, 217
"d:\crm\purple-crm-react\src\config\validations\RefreshToken.ts", "TypeScript", 0, 36, 0, 4, 6, 46
"d:\crm\purple-crm-react\src\config\validations\ValidateEmail.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"d:\crm\purple-crm-react\src\config\validations\ValidateMobileNumber.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"d:\crm\purple-crm-react\src\constants\AppConstants.ts", "TypeScript", 0, 54, 0, 0, 15, 69
"d:\crm\purple-crm-react\src\constants\AppModules.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"d:\crm\purple-crm-react\src\constants\ClassNames.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"d:\crm\purple-crm-react\src\constants\Colors.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"d:\crm\purple-crm-react\src\constants\Events.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\crm\purple-crm-react\src\constants\ImageSource.ts", "TypeScript", 0, 4, 0, 0, 2, 6
"d:\crm\purple-crm-react\src\constants\Keys.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"d:\crm\purple-crm-react\src\constants\LocalStorage.ts", "TypeScript", 0, 8, 0, 0, 0, 8
"d:\crm\purple-crm-react\src\constants\Messages.ts", "TypeScript", 0, 33, 0, 0, 3, 36
"d:\crm\purple-crm-react\src\constants\Pagination.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\crm\purple-crm-react\src\constants\PostApi.ts", "TypeScript", 0, 38, 0, 0, 1, 39
"d:\crm\purple-crm-react\src\constants\Regex.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"d:\crm\purple-crm-react\src\constants\Routes.ts", "TypeScript", 0, 21, 0, 1, 2, 24
"d:\crm\purple-crm-react\src\constants\TestData.ts", "TypeScript", 0, 329, 0, 0, 13, 342
"d:\crm\purple-crm-react\src\context\user\AccessManagementContext.tsx", "TypeScript JSX", 66, 0, 0, 1, 6, 73
"d:\crm\purple-crm-react\src\context\user\LoggedInUserContext.tsx", "TypeScript JSX", 49, 0, 0, 1, 6, 56
"d:\crm\purple-crm-react\src\index.css", "CSS", 0, 0, 48, 14, 10, 72
"d:\crm\purple-crm-react\src\main.tsx", "TypeScript JSX", 6, 0, 0, 5, 7, 18
"d:\crm\purple-crm-react\src\vite-env.d.ts", "TypeScript", 0, 7, 0, 1, 4, 12
"Total", "-", 12423, 1721, 65, 643, 1558, 16410
