Date : 2025-03-29 17:10:46
Directory : d:\crm\purple-crm-react\src
Total : 306 files,  2384 codes, 267 comments, 216 blanks, all 2867 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        161 |      2,269 |        197 |        191 |      2,657 |
| TypeScript     |        141 |        102 |         56 |         22 |        180 |
| CSS            |          4 |         13 |         14 |          3 |         30 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\CRM Purple\React\purple-crm-react\src\components\dialogue-box\Dialogue.tsx                                | TypeScript JSX |        -57 |          0 |        -11 |        -68 |
| d:\CRM Purple\React\purple-crm-react\src\components\forms\CreatePasswordForm.tsx                             | TypeScript JSX |       -175 |         -3 |        -21 |       -199 |
| d:\CRM Purple\React\purple-crm-react\src\components\forms\ForgotPasswordForm.tsx                             | TypeScript JSX |       -107 |        -14 |        -23 |       -144 |
| d:\CRM Purple\React\purple-crm-react\src\components\forms\SignInForm.tsx                                     | TypeScript JSX |       -272 |          0 |        -30 |       -302 |
| d:\CRM Purple\React\purple-crm-react\src\components\forms\SignUpForm.tsx                                     | TypeScript JSX |       -232 |          0 |        -16 |       -248 |
| d:\CRM Purple\React\purple-crm-react\src\components\lists\CompanyUsersList.tsx                               | TypeScript JSX |       -335 |         -6 |        -31 |       -372 |
| d:\CRM Purple\React\purple-crm-react\src\components\lists\LeadManagementList.tsx                             | TypeScript JSX |        -69 |         -1 |        -14 |        -84 |
| d:\CRM Purple\React\purple-crm-react\src\components\lists\ProductTeamManagementList.tsx                      | TypeScript JSX |        -25 |          0 |         -4 |        -29 |
| d:\CRM Purple\React\purple-crm-react\src\components\lists\ProductsManagementsList.tsx                        | TypeScript JSX |       -325 |         -5 |        -36 |       -366 |
| d:\CRM Purple\React\purple-crm-react\src\components\lists\TeamManagementList.tsx                             | TypeScript JSX |       -295 |         -7 |        -33 |       -335 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\company-user\AddCompanyUserModal.tsx              | TypeScript JSX |       -229 |         -3 |        -19 |       -251 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\company-user\CompanyUserAccessManagementModal.tsx | TypeScript JSX |       -391 |         -7 |        -39 |       -437 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\company-user\EditCompanyUserModal.tsx             | TypeScript JSX |       -258 |         -2 |        -20 |       -280 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\leads\CreateLeadModal.tsx                         | TypeScript JSX |       -181 |        -11 |        -35 |       -227 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\products\AddProductModal.tsx                      | TypeScript JSX |       -335 |         -1 |        -26 |       -362 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\products\CreateCompanyProductCompanyUserModal.tsx | TypeScript JSX |       -189 |         -6 |        -16 |       -211 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\products\CreateCompanyProductTaxModal.tsx         | TypeScript JSX |       -260 |         -2 |        -24 |       -286 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\products\EditProductModal.tsx                     | TypeScript JSX |       -424 |         -5 |        -45 |       -474 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\AddTeamModal.tsx                            | TypeScript JSX |       -354 |         -8 |        -41 |       -403 |
| d:\CRM Purple\React\purple-crm-react\src\components\modals\teams\EditCompanyTeamModal.tsx                    | TypeScript JSX |       -244 |         -2 |        -24 |       -270 |
| d:\CRM Purple\React\purple-crm-react\src\components\tabs\LeadSettingsTabs.tsx                                | TypeScript JSX |       -168 |         -5 |        -14 |       -187 |
| d:\CRM Purple\React\purple-crm-react\src\components\ui\ActionsDropdownButton.tsx                             | TypeScript JSX |        -13 |          0 |         -2 |        -15 |
